찬송가,새찬송가,찬송가 제목,새찬송가 제목,조표,박자,작곡자,속도
219,540,주의 음성을 내가 들으니,주의 음성을 내가 들으니,1#,4월 4일,W.H.Doane,보통으로
220,234,구주 예수 그리스도,구주 예수 그리스도,0,6월 8일,S.J.Vail,보통으로
221,246,나 가난복지 귀한 성에,나 가나안땅 귀한 성에,4b,4월 4일,P.P.Bilhorn,보통으로
222,235,보아라 즐거운 우리 집,보아라 즐거운 우리 집,1#,4월 4일,T.C.O.Kane,보통으로
223,236,세상 모든 수고 끝나,우리 모든 수고 끝나,4b,4월 4일,C.B.Widmeyer,조금빠르게
224,243,저 요단강 건너편에,저 요단강 건너편에,0,4월 4일,신증복음가,보통으로
225,,새 예루살렘 복된 집,새 예루살렘 복된 집,2b,4월 4일,German Melody,100
226,237,저 건너편 강 언덕에,저 건너편 강 언덕에,3b,4월 4일,D.A.DeMarvelle,보통으로
227,,저 하늘나라는,저 하늘나라는,0,4월 4일,J.Darwall,120
228,245,저 좋은 낙원 이르니,저 좋은 낙원 이르니,4#,3월 4일,J.R.Sweney,보통으로
229,,주 예수 다스리시는,주 에수 다스리시는,4b,4월 4일,Wyeth's Repository ,88
230,239,저 뵈는 본향집,저 뵈는 본향 집,2b,6월 8일,P.Phillps,보통으로
231,240,주가 맡긴 모든 역사,주가 맡긴 모든 역사,4b,4월 4일,J.R.Sweney,보통으로
232,241,아름다운 본향,아름다운 본향,2#,3월 4일,P.Phillps,보통으로
233,242,황무지가 장미꽃같이,황무지가 장미꽃같이,3b,4월 4일,F.Horton,보통으로
234,199,나의 사랑하는 책
235,200,달고 오묘한 그 말씀,달고 오묘한 그 말씀,1b,6월 8일,P.P.Bliss,보통으로
236,205,주 예수 크신 사랑,주 예수 크신 사랑,0,4월 4일,W.H.Doane,조금빠르게
237,,저 높고 넓은 하늘이,저 높고 넓은 하늘이,3b,2월 2일,L.Mason,72
238,,주님의 귀한 말씀은,주님의 귀한 말씀은,1#,3월 4일,W.A.F.Schulthes,112
239,,사랑의 하늘 아버지,사랑의 하늘 아버지,1#,3월 4일,T.Haweis,104
240,201,참 사람되신 말씀,참 사람되신 말씀,3b,4월 4일,F.Mendelssohn,보통으로
241,202,하나님 아버지 주신 책은,하나님 아버지 주신 책은,1#,6월 8일,P.P.Bliss,보통으로
242,600,교회의 참된 터는,교회의 참된 터는,3b,4월 4일,S.S.Wesley,보통으로
243,207,귀하신 주님 계신 곳,귀하신 주님 계신 곳,3b,2월 2일,J.Hatton,보통으로
244,598,천지 주관하는 주님,천지 주관하는 주님,2b,3월 4일,I.Conket,보통으로
245,210,시온성과 같은 교회,시온성과 같은 교회,3b,4월 4일,F.J.Haydn,보통으로
246,208,내 주의 나라와,내 주의 나라와,1#,4월 4일,A.Williams,보통으로
247,209,이 세상 풍파 심하고,이 세상 풍파 심하고,2b,6월 4일,T.Hastings,보통으로
248,248,시온의 영광이 빛나는 아침,시온의 영광이 빛나는 아침,4b,3월 4일,L.Mason,보통으로
249,249,주 사랑하는 자 다 찬송할 때에,주 사랑하는 자 다 찬송할 때에,1b,6월 8일,R.Lowry,보통으로
250,,아름다운 시온성아,아름다운 시온성아,0,4월 4일,J.Neander,100
251,519,구주께서 부르되,구주께서 부르되,0,4월 4일,신증복음가,보통으로
252,518,기쁜 소리 들리니,기쁜 소리 들리니,1#,3월 4일,W.J.Kirkparick,조금빠르게
253,521,구원으로 인도하는,구원으로 인도하는,3b,4월 4일,J.R.Sweney,조금빠르게
254,,주 은총 입은 종들이,주 은총 입은 종들이,3b,4월 4일,E.Drewett,92
255,501,너 시온아 이 소식 전파하라,너 시온아 이 소식 전파하라,2b,4월 4일,J.Walch,보통으로
256,515,눈을 들어 하늘 보라,눈을 들어 하늘 보라,3b,4월 4일,박재훈,보통으로
257,520,듣는 사람마다 복음 전하여,듣는 사람마다 복음 전하여,0,4월 4일,P.P.Bliss,보통으로
258,500,물 건너 생명줄 던지어라,물 위에 생명줄 던지어라,1b,6월 8일,E.S.Ufford,보통으로
259,502,빛의 사자들이여,빛의 사자들이여,1#,4월 4일,J.E.Jones,보통으로
260,496,새벽부터 우리,새벽부터 우리,2b,4월 4일,G.A.Minor,보통으로
261,582,어둔밤 마음에 잠겨,어둔 밤 마음에 잠겨,4b,4월 4일,이동훈,보통으로
262,523,어둔 죄악 길에서,어둔 죄악 길에서,3b,4월 4일,W.J.Kirkparick,보통으로
263,511,예수 말씀하시기를,예수 말씀하시기를,1b,4월 4일,P.P.Van Arsdale,보통으로
264,,예수의 전한 복음,예수의 전한 복음,2b,4월 4일,G.J.Webb,108
265,516,옳은 길 따르라 의의 길을,옳은 길 따르라 의의 길을,3b,4월 4일,H.E.Nichol,보통으로
266,504,왕의 명령 전달할 사자여,주님의 명령 전달할 사자여,3b,4월 4일,G.W.Warren,보통으로
267,329,주 날 불러 이르소서,주 날 불러 이르소서,1#,4월 4일,R.A.Schumann,보통으로
268,505,온 세상 위하여,온 세상 위하여,1#,4월 4일,B.B.Mckinney,보통으로
269,522,웬일인가 내 형제여,웬일인가 내 형제여,4b,3월 4일,H.Wilson,보통으로
270,508,우리가 지금은 나그네 되어도,우리가 지금은 나그네 되어도,3b,4월 4일,F.H.Cassel,보통으로
271,495,익은 곡식 거둘 자가,익은 곳식 거둘 자가,4b,4월 4일,L.N.Morris,보통으로
272,475,인류는 하나 되게,인류는 하나 되게,1b,3월 4일,나인용,보통으로
273,507,저 북방 얼음산과,저 북방 얼음산과,3b,4월 4일,L.Mason,보통으로
274,497,주 예수 넓은 사랑,주 예수 넓은 사랑,4b,4월 4일,W.G.Fischer,보통으로
275,498,저 죽어가는 자 다 구원하고,저 죽어가는 자 다 구원하고,2b,4월 4일,W.H.Doane,보통으로
